source,sourceUrl,reviewer,date,service,rating,review
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Cindy C.","Dec 2","Boarding","5","Carla took care of my dog Teddy for the weekend, and she was absolutely amazing! Throughout my whole trip, I had complete peace of mind knowing Teddy was in the best hands. She cared for him as if he were her own sending me pictures, keeping me updated, and making sure he felt loved and comfortable. Because of her, I was truly able to enjoy my time with my family without any worries. I recommend her 100%! She is so friendly, sweet, and caring. We love her! ❤️"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Brittany L.","Oct 27","Boarding","5","I had such a great experience! She kept me updated the entire time with pictures and videos, which gave me so much peace of mind. My pup was clearly happy and well taken care of. I’ll definitely be booking with her again!"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Catherine B.","Sep 7","Boarding","5","THE BEST!!! I can’t express how amazing Carla is! She FaceTimed me and sent me videos,"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Francisco R.","Aug 23","Drop-In Visits","5","Amazing!!!! Will use her again!!"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Alissa Y.","Aug 4","Boarding","5","Great sitter. Fast communication and caring person."
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Jenny Lee R.","Jul 14","Boarding","5","Carla is amazing!🤩 first time booking with her and I’m keeping her for sure! She seems she loves animals and she was very attentive with my little ones! Thank you so much! highly recommend 🤩🤩🤩🤩🤩"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Valentina V.","Jun 10","Boarding","5","Carla was amazing with our dog! She is a really sweet person and takes great care of your pets. She sends you pictures and videos during the day and answers pretty quickly. Thank you Carla, you are the best!"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Ryan C.","Jun 3","Boarding","5","Excellent care for my doggies!!! She went far beyond of what what expected to make my fur kids feel at ease and at home! Fully recommend her!!!"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Brignia V.","May 2","Boarding","5","Carla was Awesome! Very responsive, sent pictures and videos and more than anything loved on Nola so much! I will definitely book with her again!!"
"Rover","https://www.rover.com/promos/carlam33121?utm_medium=direct&utm_campaign=977262825&utm_content=ssp&utm_source=sit-link&utm_term=Ad6674Lg","Debbie F.","Apr 23","Boarding","5","Carla took fantastic care of my babies!!!! Got updates pictures & Abbi & Sofi love ❤️ she’s wonderful!!!!"
